site,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
stackpole,1995,4.8,5.6,7.0,11.9,7.9,9.7,,8.5,6.4,8.8,9.1,9.1
stackpole,1996,8.6,6.8,6.9,6.8,9.7,11.3,12.9,12.1,10.1,11.0,9.5,8.4
stackpole,1997,7.7,6.7,8.0,8.5,9.1,7.2,7.9,6.7,5.8,7.4,7.9,6.1
stackpole,1998,3.8,5.1,4.9,10.2,9.3,9.6,11.0,10.7,12.1,,11.6,6.7
stackpole,1999,8.2,,7.9,,8.4,9.6,10.3,9.7,9.8,12.1,10.3,9.9
stackpole,2000,9.9,10.4,10.1,11.9,8.7,9.9,14.2,12.8,13.4,9.2,10.8,9.3
stackpole,2001,11.3,9.9,9.2,10.8,11.7,7.6,14.4,11.2,10.8,12.5,8.6,10.6
stackpole,2002,11.2,12.6,12.8,13.3,12.6,11.8,12.6,13.3,13.5,10.4,12.3,11.3
stackpole,2003,11.0,11.0,,12.0,12.7,12.7,11.1,,9.5,13.9,10.3,9.4
stackpole,2004,9.7,9.6,10.8,9.9,12.2,14.1,11.3,11.1,8.6,,9.5,9.2
stackpole,2005,8.5,9.2,8.3,11.8,11.7,,8.3,,10.0,,8.1,10.0
stackpole,2006,9.0,9.8,9.0,12.5,12.7,11.5,,,13.9,15.5,,13.6
stackpole,2007,,11.5,11.7,10.9,11.9,11.9,11.1,,12.9,,10.1,9.2
stackpole,2008,,,,9.2,12.2,12.1,13.2,12.2,12.1,13.1,10.6,9.0
stackpole,2009,10.1,9.7,10.7,11.3,,,,11.4,,9.8,11.2,11.4
stackpole,2010,11.1,10.2,11.0,12.9,,,12.4,15.0,12.2,10.4,,11.7
stackpole,2011,10.2,12.0,,11.0,11.6,9.7,9.5,8.9,11.3,11.8,11.3,11.7
stackpole,2012,10.5,,6.2,8.4,8.4,10.5,11.3,,,12.7,,7.3
stackpole,2013,10.3,8.3,9.3,,13.7,13.6,12.5,9.7,13.0,12.5,,9.2
stackpole,2014,9.6,,13.9,,11.3,10.1,12.0,12.2,,7.9,,
stackpole,2015,9.1,,9.9,10.7,10.6,,13.8,,,10.3,,
stackpole,2016,9.7,10.7,,10.1,,16.0,,,11.3,,8.6,9.6
stackpole,2017,13.7,,10.8,12.8,12.5,12.2,14.7,,,,9.9,
stackpole,2018,9.9,6.3,10.6,,12.0,15.0,,,9.6,9.5,,9.6
stackpole,2019,10.4,13.2,,9.8,12.4,15.9,14.9,6.4,,9.9,10.2,9.9
stackpole,2020,6.5,7.6,7.5,,,13.7,12.8,14.3,12.5,11.2,12.8,12.1
stackpole,2021,10.1,10.1,11.6,11.0,14.6,14.6,11.7,14.2,15.7,10.3,10.0,8.3
stackpole,2022,8.5,10.8,11.7,13.6,11.2,13.0,12.0,14.0,10.7,11.8,11.8,10.8
stackpole,2023,12.3,7.8,13.2,13.1,14.2,13.5,12.9,15.4,15.2,9.4,10.3,9.5
stackpole,2024,11.5,9.1,11.1,11.6,13.2,14.1,16.8,17.3,,,,
stonypoint,1954,,,,12.7,10.1,13.2,12.0,10.7,11.4,11.8,9.4,7.8
stonypoint,1955,8.4,6.8,8.0,8.2,10.1,10.7,8.1,12.1,12.7,10.8,9.7,8.5
stonypoint,1956,6.1,7.7,7.5,7.7,7.2,9.9,9.5,10.2,8.0,7.7,6.9,6.7
stonypoint,1957,7.6,7.6,7.7,8.8,8.7,10.8,9.8,5.7,4.8,5.9,,5.6
stonypoint,1958,7.4,6.6,6.5,6.9,5.8,6.7,5.8,7.1,7.0,4.4,6.1,5.9
stonypoint,1959,4.6,,4.8,6.4,6.6,,8.0,6.4,6.0,7.5,5.4,4.4
stonypoint,1960,5.5,6.1,6.2,6.9,9.0,9.8,11.1,11.4,8.7,7.5,6.8,6.6
stonypoint,1961,5.4,6.4,4.8,5.3,7.2,7.4,6.9,7.3,6.1,6.2,7.0,5.6
stonypoint,1962,6.2,6.0,6.8,6.0,13.5,9.1,9.6,9.2,8.2,7.3,6.8,5.6
stonypoint,1963,6.5,5.9,7.7,6.8,8.7,,8.6,7.5,7.0,5.7,5.7,6.2
stonypoint,1964,6.7,5.7,4.7,5.3,6.7,8.0,17.0,,,,6.9,8.0
stonypoint,1965,6.9,6.9,8.4,7.1,8.5,7.4,11.2,14.3,12.2,11.9,9.7,7.8
stonypoint,1966,7.6,7.4,6.2,8.5,9.7,10.8,9.7,5.8,5.5,9.9,6.6,9.1
stonypoint,1967,7.3,5.5,8.4,7.5,9.5,7.1,9.5,,,6.9,6.7,6.4
stonypoint,1968,6.6,5.3,7.2,6.6,8.4,9.6,10.3,9.8,11.7,8.0,7.2,7.2
stonypoint,1969,6.2,6.9,7.3,8.2,9.5,8.3,3.6,8.8,7.9,7.6,5.9,6.4
stonypoint,1970,7.2,5.5,6.0,5.8,7.0,8.9,10.2,10.6,8.4,8.2,8.6,8.3
stonypoint,1971,6.9,6.4,7.4,8.1,8.2,5.8,9.0,9.7,10.3,6.7,8.3,5.3
stonypoint,1972,2.2,6.3,5.4,5.6,7.2,8.7,,8.3,8.9,10.3,9.1,7.2
stonypoint,1973,7.5,6.8,7.0,8.0,10.3,9.0,10.9,11.4,6.4,5.8,7.5,4.9
